symbol,company_name,sector,sub_sector,board,fetched_at,raw_response
BBCA.JK,PT Bank Central Asia Tbk.,Financials,Banks,Main,2026-09-11T07:54:17.046086+00:00,"{'board': 'Main', 'sector': 'Financials', 'symbol': 'BBCA.JK', 'sub_sector': 'Banks', 'company_name': 'PT Bank Central Asia Tbk.'}"
TLKM.JK,PT Telkom Indonesia (Persero) Tbk,Infrastructures,Telecommunication,Main,2026-09-11T07:54:17.046086+00:00,"{'board': 'Main', 'sector': 'Infrastructures', 'symbol': 'TLKM.JK', 'sub_sector': 'Telecommunication', 'company_name': 'PT Telkom Indonesia (Persero) Tbk'}"
ASII.JK,Astra International Tbk,Industrials,Multi-sector Holdings,Main,2026-09-11T07:54:17.046086+00:00,"{'board': 'Main', 'sector': 'Industrials', 'symbol': 'ASII.JK', 'sub_sector': 'Multi-sector Holdings', 'company_name': 'Astra International Tbk'}"
AMMN.JK,PT Amman Mineral Internasional Tbk.,Basic Materials,Basic Materials,Main,2026-09-11T13:51:51.491186+00:00,"{'board': 'Main', 'sector': 'Basic Materials', 'symbol': 'AMMN.JK', 'sub_sector': 'Basic Materials', 'company_name': 'PT Amman Mineral Internasional Tbk.'}"
IMPC.JK,PT Impack Pratama Industri Tbk,Industrials,Industrial Goods,Main,2026-09-11T13:51:51.491186+00:00,"{'board': 'Main', 'sector': 'Industrials', 'symbol': 'IMPC.JK', 'sub_sector': 'Industrial Goods', 'company_name': 'PT Impack Pratama Industri Tbk'}"
AADI.JK,PT Adaro Andalan Indonesia Tbk,Energy,"Oil, Gas & Coal",Main,2026-09-11T13:51:51.491186+00:00,"{'board': 'Main', 'sector': 'Energy', 'symbol': 'AADI.JK', 'sub_sector': 'Oil, Gas & Coal', 'company_name': 'PT Adaro Andalan Indonesia Tbk'}"
MGLV.JK,PT Panca Anugrah Wisesa Tbk,Consumer Cyclicals,Household Goods,Acceleration,2026-09-11T13:51:51.491186+00:00,"{'board': 'Acceleration', 'sector': 'Consumer Cyclicals', 'symbol': 'MGLV.JK', 'sub_sector': 'Household Goods', 'company_name': 'PT Panca Anugrah Wisesa Tbk'}"
SOHO.JK,PT Soho Global Health Tbk,Healthcare,Pharmaceuticals & Health Care Research,Development,2026-09-11T13:51:51.491186+00:00,"{'board': 'Development', 'sector': 'Healthcare', 'symbol': 'SOHO.JK', 'sub_sector': 'Pharmaceuticals & Health Care Research', 'company_name': 'PT Soho Global Health Tbk'}"
BELI.JK,PT Global Digital Niaga Tbk,Technology,Software & IT Services,New Economy,2026-09-11T13:51:51.491186+00:00,"{'board': 'New Economy', 'sector': 'Technology', 'symbol': 'BELI.JK', 'sub_sector': 'Software & IT Services', 'company_name': 'PT Global Digital Niaga Tbk'}"
SRAJ.JK,Sejahteraraya Anugrahjaya Tbk,Healthcare,Healthcare Equipment & Providers,Main,2026-09-11T13:51:51.491186+00:00,"{'board': 'Main', 'sector': 'Healthcare', 'symbol': 'SRAJ.JK', 'sub_sector': 'Healthcare Equipment & Providers', 'company_name': 'Sejahteraraya Anugrahjaya Tbk'}"
