symbol,snapshot_date,free_float,sub_sector,fetched_at,raw_response
HKMU.JK,2026-09-03,1.0,,2026-09-03T13:07:57.784854+00:00,"{'symbol': 'HKMU.JK', 'free_float': 1.0, 'company_name': 'PT HK Metals Utama Tbk'}"
WIRG.JK,2026-09-03,0.99994,,2026-09-03T13:07:57.784854+00:00,"{'symbol': 'WIRG.JK', 'free_float': 0.99994, 'company_name': 'PT Wir Asia Tbk'}"
PADI.JK,2026-09-03,0.9989,,2026-09-03T13:07:57.784854+00:00,"{'symbol': 'PADI.JK', 'free_float': 0.9989, 'company_name': 'Minna Padi Investama Sekuritas Tbk'}"
TAXI.JK,2026-09-03,0.9426,,2026-09-03T13:07:57.784854+00:00,"{'symbol': 'TAXI.JK', 'free_float': 0.9426, 'company_name': 'Express Transindo Utama Tbk'}"
SIMA.JK,2026-09-03,0.94168,,2026-09-03T13:07:57.784854+00:00,"{'symbol': 'SIMA.JK', 'free_float': 0.94168, 'company_name': 'Siwani Makmur Tbk'}"
CARS.JK,2026-09-03,0.9224,,2026-09-03T13:07:57.784854+00:00,"{'symbol': 'CARS.JK', 'free_float': 0.9224, 'company_name': 'PT Industri dan Perdagangan Bintraco Dharma Tbk'}"
ELTY.JK,2026-09-03,0.8953,,2026-09-03T13:07:57.784854+00:00,"{'symbol': 'ELTY.JK', 'free_float': 0.8953, 'company_name': 'Bakrieland Development Tbk'}"
LCGP.JK,2026-09-03,0.87377,,2026-09-03T13:07:57.784854+00:00,"{'symbol': 'LCGP.JK', 'free_float': 0.87377, 'company_name': 'PT Eureka Prima Jakarta Tbk'}"
DUCK.JK,2026-09-03,0.86999,,2026-09-03T13:07:57.784854+00:00,"{'symbol': 'DUCK.JK', 'free_float': 0.86999, 'company_name': 'PT Jaya Bersama Indo Tbk'}"
ENVY.JK,2026-09-03,0.86675,,2026-09-03T13:07:57.784854+00:00,"{'symbol': 'ENVY.JK', 'free_float': 0.86675, 'company_name': 'PT Envy Technologies Indonesia Tbk'}"
PLAS.JK,2026-09-03,0.8444,,2026-09-03T13:07:57.784854+00:00,"{'symbol': 'PLAS.JK', 'free_float': 0.8444, 'company_name': 'Polaris Investama Tbk'}"
MIRA.JK,2026-09-03,0.8256,,2026-09-03T13:07:57.784854+00:00,"{'symbol': 'MIRA.JK', 'free_float': 0.8256, 'company_name': 'Mitra International Resources Tbk'}"
