symbol,report_date,revenue,earnings,total_equity,total_liabilities,total_assets,total_debt,operating_cash_flow,free_cash_flow,fetched_at,raw_response
ASII.JK,2026-06-30,79245000000000.0,6683000000000.0,289844000000000,224673000000000,514517000000000,119090000000000.0,9980000000000.0,7082000000000.0,2026-09-11T08:02:27.525765+00:00,"{'tax': 1743000000000, 'date': '2026-06-30', 'ebit': 9597000000000, 'ebitda': 12303000000000, 'symbol': 'ASII.JK', 'revenue': 79245000000000, 'earnings': 6683000000000, 'cash_only': 46150000000000, 'provision': None, 'minorities': 238000000000, 'total_debt': 119090000000000, 'report_date': '2026-06-30', 'gross_profit': 16958000000000, 'total_assets': 514517000000000, 'total_equity': 289844000000000, 'net_cash_flow': -3212000000000, 'operating_pnl': 8107000000000, 'free_cash_flow': 7082000000000, 'premium_income': None, 'cost_of_revenue': 62287000000000, 'non_loan_assets': None, 'premium_expense': None, 'operating_expense': 8851000000000, 'total_liabilities': 224673000000000, 'net_premium_income': None, 'capital_expenditure': 2898000000000, 'current_liabilities': 156151000000000, 'earnings_before_tax': 8664000000000, 'financing_cash_flow': -15577000000000, 'investing_cash_flow': 2385000000000, 'non_interest_income': 827000000000, 'operating_cash_flow': 9980000000000, 'stockholders_equity': 230068000000000, 'total_current_asset': 185300000000000, 'total_non_current_assets': 329217000000000, 'financials_sector_metrics': None, 'non_operating_income_or_loss': 557000000000, 'total_non_current_liabilities': 68522000000000, 'interest_expense_non_operating': 933000000000, 'cash_and_short_term_investments': 46150000000000, 'non_interest_bearing_liabilities': None}"
BBCA.JK,2026-06-30,28677339000000.0,14861321000000.0,270667746000000,1379511881000000,1660579336000000,,-15658754000000.0,-16453704000000.0,2026-09-11T08:02:24.584458+00:00,"{'tax': 3518935000000, 'date': '2026-06-30', 'ebit': 18374757000000, 'ebitda': 19062149000000, 'symbol': 'BBCA.JK', 'revenue': 28677339000000, 'earnings': 14861321000000, 'cash_only': 21065925000000, 'provision': -752472000000, 'minorities': 5499000000, 'total_debt': None, 'report_date': '2026-06-30', 'gross_profit': None, 'total_assets': 1660579336000000, 'total_equity': 270667746000000, 'net_cash_flow': -21406969000000, 'operating_pnl': 18374757000000, 'free_cash_flow': -16453704000000, 'premium_income': 520278000000, 'cost_of_revenue': None, 'non_loan_assets': 678579439000000, 'premium_expense': None, 'operating_expense': 9149655000000, 'total_liabilities': 1379511881000000, 'net_premium_income': 520278000000, 'current_liabilities': None, 'earnings_before_tax': 18374757000000, 'financing_cash_flow': 11588921000000, 'investing_cash_flow': -17337136000000, 'non_interest_income': 6752926000000, 'operating_cash_flow': -15658754000000, 'stockholders_equity': 270437543000000, 'total_current_asset': None, 'total_non_current_assets': None, 'financials_sector_metrics': {'net_loan': 981999897000000, 'gross_loan': 1012705846000000, 'time_deposit': 192970355000000, 'total_deposit': 1268824684000000, 'current_account': 440796760000000, 'interest_income': 25173142000000, 'savings_account': 635057569000000, 'interest_expense': 3769007000000, 'allowance_for_loans': 30705949000000, 'net_interest_income': 21404135000000, 'total_earning_assets': None, 'total_cash_and_due_from_banks': 76568826000000, 'other_interest_bearing_liabilities': None}, 'non_operating_income_or_loss': 0, 'total_non_current_liabilities': None, 'interest_expense_non_operating': None, 'cash_and_short_term_investments': None, 'non_interest_bearing_liabilities': None, 'realized_capital_goods_investment': -794950000000}"
TLKM.JK,2026-03-31,37189000000000.0,4344000000000.0,155810000000000,134145000000000,289955000000000,45459000000000.0,17290000000000.0,12177000000000.0,2026-09-11T08:02:26.020668+00:00,"{'tax': 2194000000000, 'date': '2026-03-31', 'ebit': 9269000000000, 'ebitda': 17967000000000, 'symbol': 'TLKM.JK', 'revenue': 37189000000000, 'earnings': 4344000000000, 'cash_only': 37549000000000, 'provision': 421000000000, 'minorities': 1710000000000, 'total_debt': 45459000000000, 'report_date': '2026-03-31', 'gross_profit': 24274000000000, 'total_assets': 289955000000000, 'total_equity': 155810000000000, 'net_cash_flow': 3152000000000, 'operating_pnl': 9145000000000, 'free_cash_flow': 12177000000000, 'premium_income': None, 'cost_of_revenue': 12915000000000, 'non_loan_assets': None, 'premium_expense': None, 'operating_expense': 15129000000000, 'total_liabilities': 134145000000000, 'net_premium_income': None, 'capital_expenditure': 5113000000000, 'current_liabilities': 71609000000000, 'earnings_before_tax': 8248000000000, 'financing_cash_flow': -9018000000000, 'investing_cash_flow': -5120000000000, 'non_interest_income': 342000000000, 'operating_cash_flow': 17290000000000, 'stockholders_equity': 134492000000000, 'total_current_asset': 65928000000000, 'total_non_current_assets': 224027000000000, 'financials_sector_metrics': None, 'non_operating_income_or_loss': -679000000000, 'total_non_current_liabilities': 62536000000000, 'interest_expense_non_operating': 1021000000000, 'cash_and_short_term_investments': 37549000000000, 'non_interest_bearing_liabilities': None}"
BBCA.JK,2026-03-31,28434118000000.0,14695475000000.0,259358793000000,1370360247000000,1640830566000000,,47920728000000.0,47485515000000.0,2026-09-11T08:02:24.584458+00:00,"{'tax': 3387273000000, 'date': '2026-03-31', 'ebit': 18077072000000, 'ebitda': 18762398000000, 'symbol': 'BBCA.JK', 'revenue': 28434118000000, 'earnings': 14695475000000, 'cash_only': 23963776000000, 'provision': -1232275000000, 'minorities': 5676000000, 'total_debt': None, 'report_date': '2026-03-31', 'gross_profit': None, 'total_assets': 1640830566000000, 'total_equity': 259358793000000, 'net_cash_flow': 29860717000000, 'operating_pnl': 18077072000000, 'free_cash_flow': 47485515000000, 'premium_income': 532089000000, 'cost_of_revenue': None, 'non_loan_assets': 700656168000000, 'premium_expense': 0, 'operating_expense': 8673143000000, 'total_liabilities': 1370360247000000, 'net_premium_income': 532089000000, 'current_liabilities': None, 'earnings_before_tax': 18077072000000, 'financing_cash_flow': -1072636000000, 'investing_cash_flow': -16987375000000, 'non_interest_income': 6793596000000, 'operating_cash_flow': 47920728000000, 'stockholders_equity': 259132407000000, 'total_current_asset': None, 'total_non_current_assets': None, 'financials_sector_metrics': {'net_loan': 940174398000000, 'gross_loan': 970701203000000, 'time_deposit': 194373518000000, 'total_deposit': 1276408911000000, 'current_account': 447811289000000, 'interest_income': 24592248000000, 'savings_account': 634224104000000, 'interest_expense': 3483815000000, 'allowance_for_loans': 30526805000000, 'net_interest_income': 21108433000000, 'total_earning_assets': None, 'total_cash_and_due_from_banks': 90242485000000, 'other_interest_bearing_liabilities': None}, 'non_operating_income_or_loss': 0, 'total_non_current_liabilities': None, 'interest_expense_non_operating': None, 'cash_and_short_term_investments': None, 'non_interest_bearing_liabilities': None, 'realized_capital_goods_investment': -435213000000}"
BBCA.JK,2025-12-31,27987708000000.0,14159388000000.0,281687555000000,1294508286000000,1586828536000000,,11576805000000.0,10229182000000.0,2026-09-11T08:02:24.584458+00:00,"{'tax': 3344302000000, 'date': '2025-12-31', 'ebit': 17493932000000, 'ebitda': 18076581000000, 'symbol': 'BBCA.JK', 'revenue': 27987708000000, 'earnings': 14159388000000, 'cash_only': 25305031000000, 'provision': -488321000000, 'minorities': 9758000000, 'total_debt': None, 'report_date': '2025-12-31', 'gross_profit': None, 'total_assets': 1586828536000000, 'total_equity': 281687555000000, 'net_cash_flow': -12666723000000, 'operating_pnl': 17493932000000, 'free_cash_flow': 10229182000000, 'premium_income': None, 'cost_of_revenue': None, 'non_loan_assets': 646347336000000, 'premium_expense': None, 'operating_expense': 8147153000000, 'total_liabilities': 1294508286000000, 'net_premium_income': None, 'current_liabilities': None, 'earnings_before_tax': 17493932000000, 'financing_cash_flow': -9012693000000, 'investing_cash_flow': -15230835000000, 'non_interest_income': 4382662000000, 'operating_cash_flow': 11576805000000, 'stockholders_equity': 281466478000000, 'total_current_asset': None, 'total_non_current_assets': None, 'financials_sector_metrics': {'net_loan': 940481200000000, 'gross_loan': 970233234000000, 'time_deposit': 194669011000000, 'total_deposit': 1233799081000000, 'current_account': 431010515000000, 'interest_income': 24927184000000, 'savings_account': 608119555000000, 'interest_expense': 3325378000000, 'allowance_for_loans': 29752034000000, 'net_interest_income': 21601806000000, 'total_earning_assets': None, 'total_cash_and_due_from_banks': 78406483000000, 'other_interest_bearing_liabilities': None}, 'non_operating_income_or_loss': 0, 'total_non_current_liabilities': None, 'interest_expense_non_operating': None, 'cash_and_short_term_investments': None, 'non_interest_bearing_liabilities': None, 'realized_capital_goods_investment': -1347623000000}"
BBCA.JK,2025-09-30,29162675000000.0,14399987000000.0,276635408000000,1251857118000000,1538501812000000,,25008762000000.0,,2026-09-11T08:02:24.584458+00:00,"{'tax': 3582791000000, 'date': '2025-09-30', 'ebit': 17973285000000, 'ebitda': 18585248000000, 'symbol': 'BBCA.JK', 'revenue': 29162675000000, 'earnings': 14399987000000, 'cash_only': 18427521000000, 'provision': -1511267000000, 'minorities': 9493000000, 'total_debt': None, 'report_date': '2025-09-30', 'gross_profit': None, 'total_assets': 1538501812000000, 'total_equity': 276635408000000, 'net_cash_flow': -6141272000000, 'operating_pnl': 17973285000000, 'free_cash_flow': None, 'premium_income': None, 'cost_of_revenue': None, 'non_loan_assets': 647969541000000, 'premium_expense': None, 'operating_expense': 9678123000000, 'total_liabilities': 1251857118000000, 'net_premium_income': None, 'current_liabilities': None, 'earnings_before_tax': 17973285000000, 'financing_cash_flow': 386601000000, 'investing_cash_flow': -31536635000000, 'non_interest_income': 7801275000000, 'operating_cash_flow': 25008762000000, 'stockholders_equity': 276415660000000, 'total_current_asset': None, 'total_non_current_assets': None, 'financials_sector_metrics': {'net_loan': 890532271000000, 'gross_loan': 921999630000000, 'time_deposit': 196810779000000, 'total_deposit': 1190664137000000, 'current_account': 400632199000000, 'interest_income': 24671504000000, 'savings_account': 593221159000000, 'interest_expense': 3310104000000, 'allowance_for_loans': 31467359000000, 'net_interest_income': 21361400000000, 'total_earning_assets': None, 'total_cash_and_due_from_banks': 89645709000000, 'other_interest_bearing_liabilities': None}, 'non_operating_income_or_loss': 0, 'total_non_current_liabilities': None, 'interest_expense_non_operating': None, 'cash_and_short_term_investments': None, 'non_interest_bearing_liabilities': None, 'realized_capital_goods_investment': None}"
TLKM.JK,2026-06-30,38689000000000.0,6279000000000.0,134848000000000,168239000000000,303087000000000,56915000000000.0,17572000000000.0,11317000000000.0,2026-09-11T08:02:26.020668+00:00,"{'tax': 2398000000000, 'date': '2026-06-30', 'ebit': 11608000000000, 'ebitda': 20113000000000, 'symbol': 'TLKM.JK', 'revenue': 38689000000000, 'earnings': 6279000000000, 'cash_only': 54579000000000, 'provision': 768000000000, 'minorities': 1873000000000, 'total_debt': 56915000000000, 'report_date': '2026-06-30', 'gross_profit': 26342000000000, 'total_assets': 303087000000000, 'total_equity': 134848000000000, 'net_cash_flow': 16520000000000, 'operating_pnl': 11116000000000, 'free_cash_flow': 11317000000000, 'premium_income': None, 'cost_of_revenue': 12347000000000, 'non_loan_assets': None, 'premium_expense': None, 'operating_expense': 15226000000000, 'total_liabilities': 168239000000000, 'net_premium_income': None, 'capital_expenditure': 6255000000000, 'current_liabilities': 102358000000000, 'earnings_before_tax': 10550000000000, 'financing_cash_flow': 4661000000000, 'investing_cash_flow': -5713000000000, 'non_interest_income': 403000000000, 'operating_cash_flow': 17572000000000, 'stockholders_equity': 118333000000000, 'total_current_asset': 80932000000000, 'total_non_current_assets': 222155000000000, 'financials_sector_metrics': None, 'non_operating_income_or_loss': -655000000000, 'total_non_current_liabilities': 65881000000000, 'interest_expense_non_operating': 1058000000000, 'cash_and_short_term_investments': 54579000000000, 'non_interest_bearing_liabilities': None}"
TLKM.JK,2025-12-31,37125000000000.0,2030000000000.0,150537000000000,137222000000000,287759000000000,50774000000000.0,14237000000000.0,6388000000000.0,2026-09-11T08:02:26.020668+00:00,"{'tax': 817000000000, 'date': '2025-12-31', 'ebit': 5855000000000, 'ebitda': 18437000000000, 'symbol': 'TLKM.JK', 'revenue': 37125000000000, 'earnings': 2030000000000, 'cash_only': 34228000000000, 'provision': 17000000000, 'minorities': 1833000000000, 'total_debt': 50774000000000, 'report_date': '2025-12-31', 'gross_profit': 24818000000000, 'total_assets': 287759000000000, 'total_equity': 150537000000000, 'net_cash_flow': 2662000000000, 'operating_pnl': 4798000000000, 'free_cash_flow': 6388000000000, 'premium_income': None, 'cost_of_revenue': 12307000000000, 'non_loan_assets': None, 'premium_expense': None, 'operating_expense': 20020000000000, 'total_liabilities': 137222000000000, 'net_premium_income': None, 'capital_expenditure': 7849000000000, 'current_liabilities': 73948000000000, 'earnings_before_tax': 4680000000000, 'financing_cash_flow': -4030000000000, 'investing_cash_flow': -7545000000000, 'non_interest_income': 376000000000, 'operating_cash_flow': 14237000000000, 'stockholders_equity': 130685000000000, 'total_current_asset': 61766000000000, 'total_non_current_assets': 225993000000000, 'financials_sector_metrics': None, 'non_operating_income_or_loss': -801000000000, 'total_non_current_liabilities': 63274000000000, 'interest_expense_non_operating': 1175000000000, 'cash_and_short_term_investments': 34228000000000, 'non_interest_bearing_liabilities': None}"
TLKM.JK,2025-09-30,36613000000000.0,4809000000000.0,155012000000000,136885000000000,291897000000000,53521000000000.0,17032000000000.0,9726000000000.0,2026-09-11T08:02:26.020668+00:00,"{'tax': 1816000000000, 'date': '2025-09-30', 'ebit': 9669000000000, 'ebitda': 18538000000000, 'symbol': 'TLKM.JK', 'revenue': 36613000000000, 'earnings': 4809000000000, 'cash_only': 31554000000000, 'provision': 478000000000, 'minorities': 1660000000000, 'total_debt': 53521000000000, 'report_date': '2025-09-30', 'gross_profit': 24623000000000, 'total_assets': 291897000000000, 'total_equity': 155012000000000, 'net_cash_flow': -1851000000000, 'operating_pnl': 9418000000000, 'free_cash_flow': 9726000000000, 'premium_income': None, 'cost_of_revenue': 11990000000000, 'non_loan_assets': None, 'premium_expense': None, 'operating_expense': 15205000000000, 'total_liabilities': 136885000000000, 'net_premium_income': None, 'capital_expenditure': 7306000000000, 'current_liabilities': 75685000000000, 'earnings_before_tax': 8285000000000, 'financing_cash_flow': -11793000000000, 'investing_cash_flow': -7090000000000, 'non_interest_income': 398000000000, 'operating_cash_flow': 17032000000000, 'stockholders_equity': 137139000000000, 'total_current_asset': 58408000000000, 'total_non_current_assets': 233489000000000, 'financials_sector_metrics': None, 'non_operating_income_or_loss': -986000000000, 'total_non_current_liabilities': 61200000000000, 'interest_expense_non_operating': 1384000000000, 'cash_and_short_term_investments': 31554000000000, 'non_interest_bearing_liabilities': None}"
ASII.JK,2026-03-31,78668000000000.0,5850000000000.0,293123000000000,224681000000000,517804000000000,116788000000000.0,6274000000000.0,-5297000000000.0,2026-09-11T08:02:27.525765+00:00,"{'tax': 1646000000000, 'date': '2026-03-31', 'ebit': 8992000000000, 'ebitda': 10197000000000, 'symbol': 'ASII.JK', 'revenue': 78668000000000, 'earnings': 5850000000000, 'cash_only': 49046000000000, 'provision': None, 'minorities': 573000000000, 'total_debt': 116788000000000, 'report_date': '2026-03-31', 'gross_profit': 15494000000000, 'total_assets': 517804000000000, 'total_equity': 293123000000000, 'net_cash_flow': -3653000000000, 'operating_pnl': 6310000000000, 'free_cash_flow': -5297000000000, 'premium_income': None, 'cost_of_revenue': 63174000000000, 'non_loan_assets': None, 'premium_expense': None, 'operating_expense': 9184000000000, 'total_liabilities': 224681000000000, 'net_premium_income': None, 'capital_expenditure': 11571000000000, 'current_liabilities': 155225000000000, 'earnings_before_tax': 8069000000000, 'financing_cash_flow': 2633000000000, 'investing_cash_flow': -12560000000000, 'non_interest_income': 828000000000, 'operating_cash_flow': 6274000000000, 'stockholders_equity': 232765000000000, 'total_current_asset': 188493000000000, 'total_non_current_assets': 329311000000000, 'financials_sector_metrics': None, 'non_operating_income_or_loss': 1759000000000, 'total_non_current_liabilities': 69456000000000, 'interest_expense_non_operating': 923000000000, 'cash_and_short_term_investments': 49046000000000, 'non_interest_bearing_liabilities': None}"
