symbol,event_date,reason,pdf_url,fetched_at,raw_response
ALKA.JK,2026-09-16,Terjadinya peningkatan harga kumulatif yang signifikan pada saham ALKA.JK,https://www.idx.co.id/Portals/0/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/Exchange/2026/SEP/20260915-WAS_Suspensi_ALKA.pdf,2026-09-16T12:17:42.055006+00:00,"{'reason': 'Terjadinya peningkatan harga kumulatif yang signifikan pada saham ALKA.JK', 'symbol': 'ALKA.JK', 'pdf_url': 'https://www.idx.co.id/Portals/0/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/Exchange/2026/SEP/20260915-WAS_Suspensi_ALKA.pdf', 'suspension_date': '2026-09-16'}"
SEMA.JK,2026-09-16,"Terjadinya peningkatan harga kumulatif yang signifikan pada saham SEMA.JK, dalam rangka cooling down sebagai bentuk perlindungan bagi investor",https://www.idx.co.id/Portals/0/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/Exchange/2026/SEP/20260915-WAS_Suspensi_SEMA.pdf,2026-09-16T12:17:42.055006+00:00,"{'reason': 'Terjadinya peningkatan harga kumulatif yang signifikan pada saham SEMA.JK, dalam rangka cooling down sebagai bentuk perlindungan bagi investor', 'symbol': 'SEMA.JK', 'pdf_url': 'https://www.idx.co.id/Portals/0/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/Exchange/2026/SEP/20260915-WAS_Suspensi_SEMA.pdf', 'suspension_date': '2026-09-16'}"
UDNG.JK,2026-09-16,Dalam rangka cooling down sebagai bentuk perlindungan bagi investor,https://www.idx.co.id/Portals/0/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/Exchange/2026/SEP/20260915-WAS_Suspensi_UDNG.pdf,2026-09-16T12:17:42.055006+00:00,"{'reason': 'Dalam rangka cooling down sebagai bentuk perlindungan bagi investor', 'symbol': 'UDNG.JK', 'pdf_url': 'https://www.idx.co.id/Portals/0/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/Exchange/2026/SEP/20260915-WAS_Suspensi_UDNG.pdf', 'suspension_date': '2026-09-16'}"
LCKM.JK,2026-09-10,Sehubungan dengan adanya ketidakpastian atas kelangsungan usaha,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202609/ac8087ec33_889d14bd08.pdf,2026-09-11T07:54:15.210333+00:00,"{'reason': 'Sehubungan dengan adanya ketidakpastian atas kelangsungan usaha', 'symbol': 'LCKM.JK', 'pdf_url': 'https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202609/ac8087ec33_889d14bd08.pdf', 'suspension_date': '2026-09-10'}"
MGLV.JK,2026-09-09,"Terjadinya peningkatan harga kumulatif yang signifikan pada saham MGLV.JK, dalam rangka cooling down sebagai bentuk perlindungan bagi investor",https://www.idx.co.id/Portals/0/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/Exchange/2026/SEP/20260908-WAS_Suspensi_MGLV.pdf,2026-09-11T07:54:15.210333+00:00,"{'reason': 'Terjadinya peningkatan harga kumulatif yang signifikan pada saham MGLV.JK, dalam rangka cooling down sebagai bentuk perlindungan bagi investor', 'symbol': 'MGLV.JK', 'pdf_url': 'https://www.idx.co.id/Portals/0/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/Exchange/2026/SEP/20260908-WAS_Suspensi_MGLV.pdf', 'suspension_date': '2026-09-09'}"
UANG.JK,2026-09-09,"Terjadinya peningkatan harga kumulatif yang signifikan pada saham UANG.JK, dalam rangka cooling down sebagai bentuk perlindungan bagi investor",https://www.idx.co.id/Portals/0/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/Exchange/2026/SEP/20260908-WAS_Suspensi_UANG.pdf,2026-09-11T07:54:15.210333+00:00,"{'reason': 'Terjadinya peningkatan harga kumulatif yang signifikan pada saham UANG.JK, dalam rangka cooling down sebagai bentuk perlindungan bagi investor', 'symbol': 'UANG.JK', 'pdf_url': 'https://www.idx.co.id/Portals/0/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/Exchange/2026/SEP/20260908-WAS_Suspensi_UANG.pdf', 'suspension_date': '2026-09-09'}"
ASLI.JK,2026-09-04,"Terjadinya peningkatan harga kumulatif yang signifikan pada saham ASLI.JK, dalam rangka cooling down sebagai bentuk perlindungan bagi investor",https://www.idx.co.id/Portals/0/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/Exchange/2026/SEP/20260903-WAS_Suspensi_ASLI.pdf,2026-09-11T07:54:15.210333+00:00,"{'reason': 'Terjadinya peningkatan harga kumulatif yang signifikan pada saham ASLI.JK, dalam rangka cooling down sebagai bentuk perlindungan bagi investor', 'symbol': 'ASLI.JK', 'pdf_url': 'https://www.idx.co.id/Portals/0/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/Exchange/2026/SEP/20260903-WAS_Suspensi_ASLI.pdf', 'suspension_date': '2026-09-04'}"
LIFE.JK,2026-09-04,Terjadinya peningkatan harga kumulatif yang signifikan pada saham LIFE.JK,https://www.idx.co.id/Portals/0/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/Exchange/2026/SEP/20260903-WAS_Suspensi_LIFE.pdf,2026-09-11T07:54:15.210333+00:00,"{'reason': 'Terjadinya peningkatan harga kumulatif yang signifikan pada saham LIFE.JK', 'symbol': 'LIFE.JK', 'pdf_url': 'https://www.idx.co.id/Portals/0/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/Exchange/2026/SEP/20260903-WAS_Suspensi_LIFE.pdf', 'suspension_date': '2026-09-04'}"
NICK.JK,2026-09-04,"Terjadinya peningkatan harga kumulatif yang signifikan pada saham NICK.JK, dalam rangka cooling down sebagai bentuk perlindungan bagi investor",https://www.idx.co.id/Portals/0/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/Exchange/2026/SEP/20260903-WAS_Suspensi_NICK.pdf,2026-09-11T07:54:15.210333+00:00,"{'reason': 'Terjadinya peningkatan harga kumulatif yang signifikan pada saham NICK.JK, dalam rangka cooling down sebagai bentuk perlindungan bagi investor', 'symbol': 'NICK.JK', 'pdf_url': 'https://www.idx.co.id/Portals/0/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/Exchange/2026/SEP/20260903-WAS_Suspensi_NICK.pdf', 'suspension_date': '2026-09-04'}"
TRUK.JK,2026-09-04,Terjadinya peningkatan harga kumulatif yang signifikan pada saham TRUK.JK,https://www.idx.co.id/Portals/0/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/Exchange/2026/SEP/20260903-WAS_Suspensi_TRUK.pdf,2026-09-11T07:54:15.210333+00:00,"{'reason': 'Terjadinya peningkatan harga kumulatif yang signifikan pada saham TRUK.JK', 'symbol': 'TRUK.JK', 'pdf_url': 'https://www.idx.co.id/Portals/0/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/Exchange/2026/SEP/20260903-WAS_Suspensi_TRUK.pdf', 'suspension_date': '2026-09-04'}"
