symbol,company_name,as_of_date,sector,sub_sector,board,is_event_90d,event_date,event_category,already_flagged,data_complete,feature_max_source_date,raw_revenue,raw_earnings,raw_total_equity,raw_total_liabilities,raw_total_assets,raw_total_debt,raw_operating_cash_flow,raw_free_cash_flow,raw_report_date,raw_close,raw_volume,raw_market_cap,raw_free_float,lapor_jarak_hari,lapor_terlambat,tanpa_pendapatan,ekuitas_negatif,utang_terhadap_aset,ako_negatif_berturut,hari_tanpa_transaksi_90d,rasio_volume_30_90,hari_di_batas_bawah_90d,turun_dari_puncak_90d,volatilitas_90d,free_float_rendah
BBCA.JK,PT Bank Central Asia Tbk.,2026-07-15,Financials,Banks,Main,0,,,0,1,2026-07-15,28677339000000.0,14861321000000.0,270667746000000,1379511881000000,1660579336000000,,-15658754000000.0,-16453704000000.0,2026-06-30,6125,140824900,747509084437500,,15,0,0.0,0,0.8307413268931585,1,0,0.942878313613025,0,0.027777777777777776,0.027681032600424645,
TLKM.JK,PT Telkom Indonesia (Persero) Tbk,2026-07-15,Infrastructures,Telecommunication,Main,0,,,0,1,2026-07-15,38689000000000.0,6279000000000.0,134848000000000,168239000000000,303087000000000,56915000000000.0,17572000000000.0,11317000000000.0,2026-06-30,2520,142706600,249636785832000,,15,0,0.0,0,0.5550848436257576,0,0,0.9986813926394962,0,0.14864864864864866,0.026684686682287753,
ASII.JK,Astra International Tbk,2026-07-15,Industrials,Multi-sector Holdings,Main,0,,,0,1,2026-07-15,79245000000000.0,6683000000000.0,289844000000000,224673000000000,514517000000000,119090000000000.0,9980000000000.0,7082000000000.0,2026-06-30,4850,37729500,196345232729000,,15,0,0.0,0,0.43666778745891777,0,0,0.975156471825659,0,0.016227180527383367,0.024129468829527743,
AMMN.JK,PT Amman Mineral Internasional Tbk.,2026-07-15,Basic Materials,Basic Materials,Main,0,,,0,1,2026-07-15,13732936650720.0,2722562272140.0,94870592355600,143273384112480,238143976468080,110786062912260.0,3289192602240.0,1690559055360.0,2026-03-31,3760,77265900,272668498386560,,106,1,0.0,0,0.6016250599211939,0,0,0.9329240371183375,0,0.06,0.045209707676804066,
IMPC.JK,PT Impack Pratama Industri Tbk,2026-07-15,Industrials,Industrial Goods,Main,0,,,0,1,2026-07-15,1289965716265.0,243898051256.0,3413006148968,1911646326302,5324652475270,1060939124233.0,271762241515.0,154982281413.0,2026-06-30,1455,6675100,79889685000000,,15,0,0.0,0,0.35901804581247626,0,0,0.9434177424621838,0,0.18487394957983194,0.03724636430167777,
AADI.JK,PT Adaro Andalan Indonesia Tbk,2026-07-15,Energy,"Oil, Gas & Coal",Main,0,,,0,1,2026-07-15,26891529196000.0,5919682573000.0,70419659821000,42728474901000,113148134722000,12581189201000.0,7241595319000.0,6361036115000.0,2026-06-30,8475,7447900,65993907666000,,15,0,0.0,0,0.37763304720826363,0,0,0.9668018706088408,0,0.0,0.014275622983660188,
MGLV.JK,PT Panca Anugrah Wisesa Tbk,2026-07-15,Consumer Cyclicals,Household Goods,Acceleration,0,2026-09-09,A,0,1,2026-07-15,,,114233933519,69809832851,184043766370,7625053.0,,,2026-06-30,8000,82600,15239067288000,,15,0,,0,0.37931104230205176,0,0,0.9595801845944326,0,0.09090909090909091,0.038572008921578596,
SOHO.JK,PT Soho Global Health Tbk,2026-07-15,Healthcare,Pharmaceuticals & Health Care Research,Development,0,,,0,1,2026-07-15,2726781000000.0,183064000000.0,2454603000000,3139705000000,5594308000000,4504000000.0,324210000000.0,316783000000.0,2026-06-30,1200,19600,15230018868000,,15,0,0.0,0,0.561232059443277,0,0,0.9627422713439052,0,0.02834008097165992,0.034323236366125456,
BELI.JK,PT Global Digital Niaga Tbk,2026-07-15,Technology,Software & IT Services,New Economy,0,,,0,1,2026-07-15,6995135000000.0,-408352000000.0,9336174000000,9414947000000,18751121000000,3702772000000.0,-71356000000.0,-144340000000.0,2026-06-30,262,746500,35951374250518,,15,0,0.0,0,0.5021004877521723,4,0,0.9817682846851573,0,0.13815789473684212,0.024960624440475455,
SRAJ.JK,Sejahteraraya Anugrahjaya Tbk,2026-07-15,Healthcare,Healthcare Equipment & Providers,Main,0,,,0,1,2026-07-15,657127000000.0,-154081000000.0,1091118000000,6530636000000,7621754000000,4262967000000.0,90941000000.0,-155705000000.0,2026-06-30,11000,10700,134628559890000,,15,0,0.0,0,0.8568416141481344,0,0,1.0225507778404577,0,0.05172413793103448,0.038424755271425165,
